Aardvark,"Enemy summoned","Gain +2 attack and +2 health."
Aardvark,"Enemy summoned","Gain +4 attack and +4 health."
Aardvark,"Enemy summoned","Gain +6 attack and +6 health."
"African Penguin",Buy,"Give three random friends +1 attack."
"African Penguin",Buy,"Give three random friends +2 attack."
"African Penguin",Buy,"Give three random friends +3 attack."
Alpaca,"Friend summoned","Give it +1 experience. Works 1 time per turn."
Alpaca,"Friend summoned","Give it +1 experience. Works 2 times per turn."
Alpaca,"Friend summoned","Give it +1 experience. Works 3 times per turn."
Anglerfish,Buy,"Choose one free pet from your last opponent to stock."
Anglerfish,Buy,"Choose one free pet from your last opponent to stock thrice."
Anglerfish,Buy,"Choose one free pet from your last opponent to stock twice."
Anteater,Faint,"Summon two level 1 Ants."
Anteater,Faint,"Summon two level 2 Ants."
Anteater,Faint,"Summon two level 3 Ants."
Ant,Faint,"Give one random friend +1 attack and +1 health."
Ant,Faint,"Give one random friend +2 attack and +2 health."
Ant,Faint,"Give one random friend +3 attack and +3 health."
Armadillo,"Start of battle","Give ALL pets +16 health."
Armadillo,"Start of battle","Give ALL pets +24 health."
Armadillo,"Start of battle","Give ALL pets +8 health."
"Atlantic Puffin","Start of battle","Deal 2 damage for each Strawberry friend to one random enemy."
"Atlantic Puffin","Start of battle","Deal 2 damage for each Strawberry friend to three random enemies."
"Atlantic Puffin","Start of battle","Deal 2 damage for each Strawberry friend to two random enemies."
Axolotl,"Friend gained perk","Give it permanent +1 attack and +1 health."
Axolotl,"Friend gained perk","Give it permanent +2 attack and +2 health."
Axolotl,"Friend gained perk","Give it permanent +3 attack and +3 health."
Baboon,"End Turn","Give one random friend from the current shop tier +1 attack and + 2 health."
Baboon,"End Turn","Give one random friend from the current shop tier +2 attack and + 4 health."
Baboon,"End Turn","Give one random friend from the current shop tier +3 attack and + 6 health."
Badger,"Before faint","Deal 100% attack damage to adjacent pets."
Badger,"Before faint","Deal 150% attack damage to adjacent pets."
Badger,"Before faint","Deal 50% attack damage to adjacent pets."
Bat,"Start of battle","Make one random enemy Weak."
Bat,"Start of battle","Make three random enemies Weak."
Bat,"Start of battle","Make two random enemies Weak."
Bear,"Before faint","Give Honey Perk to all pets that are one space away."
Bear,"Before faint","Give Honey Perk to all pets that are three spaces away."
Bear,"Before faint","Give Honey Perk to all pets that are two spaces away."
Beaver,Sell,"Give two random friends +1 attack."
Beaver,Sell,"Give two random friends +2 attack."
Beaver,Sell,"Give two random friends +3 attack."
Beetle,"Start of battle","Gain Garlic Perk."
Beetle,"Start of battle","Gain Honey Perk."
Beetle,"Start of battle","Gain Meat Bone Perk."
"Beluga Sturgeon",Faint,"Summon one 2/3 Dolphin with Rice in the back."
"Beluga Sturgeon",Faint,"Summon three 2/3 Dolphins with Rice in the back."
"Beluga Sturgeon",Faint,"Summon two 2/3 Dolphins with Rice in the back."
"Beluga Whale","Eats food","Swallow the left-most shop pet and release it as level 1 after fainting."
"Beluga Whale","Eats food","Swallow the left-most shop pet and release it as level 2 after fainting."
"Beluga Whale","Eats food","Swallow the left-most shop pet and release it as level 3 after fainting."
"Betta Fish",Faint,"Give the nearest friend behind +12 attack and +6 health."
"Betta Fish",Faint,"Give the nearest friend behind +4 attack and +2 health."
"Betta Fish",Faint,"Give the nearest friend behind +8 attack and +4 health."
"Bird of Paradise","Spend 7 gold","Give three random friends +1 attack and +1 health."
"Bird of Paradise","Spend 7 gold","Give three random friends +2 attack and +2 health."
"Bird of Paradise","Spend 7 gold","Give three random friends +3 attack and +3 health."
Bison,"End turn","If this has a level 3 friend, gain +1 attack and +2 health."
Bison,"End turn","If this has a level 3 friend, gain +2 attack and +4 health."
Bison,"End turn","If this has a level 3 friend, gain +3 attack and +6 health."
"Black Necked Stilt",Faint,"Gain +2 Trumpets."
"Black Necked Stilt",Faint,"Gain +4 Trumpets."
"Black Necked Stilt",Faint,"Gain +6 Trumpets."
Blobfish,"Before faint","Give the nearest friend behind +1 attack and +1 health and +1 experience."
Blobfish,"Before faint","Give the nearest friend behind +2 attack and +2 health and +2 experience."
Blobfish,"Before faint","Give the nearest friend behind +3 attack and +3 health and +3 experience."
Blowfish,Hurt,"Deal 3 damage to one random enemy."
Blowfish,Hurt,"Deal 6 damage to one random enemy."
Blowfish,Hurt,"Deal 9 damage to one random enemy."
Bluebird,"End turn","Give one random friend +1 attack."
Bluebird,"End turn","Give one random friend +2 attack."
Bluebird,"End turn","Give one random friend +3 attack."
"Blue Ringed Octopus",Buy,"Give friends +1 attack and +1 health."
"Blue Ringed Octopus",Buy,"Give friends +2 attack and +2 health."
"Blue Ringed Octopus",Buy,"Give friends +3 attack and +3 health."
Boar,"Before attack","Gain +12 attack and +6 health."
Boar,"Before attack","Gain +4 attack and +2 health."
Boar,"Before attack","Gain +8 attack and +4 health."
Buffalo,"Three friends sold","Gain +2 attack and +2 health."
Buffalo,"Three friends sold","Gain +4 attack and +4 health."
Buffalo,"Three friends sold","Gain +6 attack and +6 health."
Bulldog,"After attack","Set attack equal to health +1."
Bulldog,"After attack","Set attack equal to health +2."
Bulldog,"After attack","Set attack equal to health +3."
Camel,Hurt,"Give the nearest friend behind +2 attack and +2 health."
Camel,Hurt,"Give the nearest friend behind +4 attack and +4 health."
Camel,Hurt,"Give the nearest friend behind +6 attack and +6 health."
Capybara,Roll,"Give unfrozen shop pets +2 attack and +1 health."
Capybara,Roll,"Give unfrozen shop pets +4 attack and +2 health."
Capybara,Roll,"Give unfrozen shop pets +6 attack and +3 health."
Cassowary,"End turn","If this has a Strawberry friend, gain +1 attack and +1 health."
Cassowary,"End turn","If this has a Strawberry friend, gain +2 attack and +2 health."
Cassowary,"End turn","If this has a Strawberry friend, gain +3 attack and +3 health."
Caterpillar,"Start of turn","Gain +1 experience."
Caterpillar,"Start of turn","Transform into a Butterfly and copy stats of the strongest enemy."
Catfish,"Start of turn","Spend 1 gold to activate Buy ability on the nearest friend ahead."
Catfish,"Start of turn","Spend 1 gold to activate Buy ability on the nearest friend ahead. Triggers 2 times. "
Catfish,"Start of turn","Spend 1 gold to activate Buy ability on the nearest friend ahead. Triggers 3 times."
Cat,None,"Food gives double health and attack. Works 2 times per turn."
Cat,None,"Food gives quadruple health and attack. Works 2 times per turn."
Cat,None,"Food gives triple health and attack. Works 2 times per turn."
Chameleon,Faint,"Activate friendly toy ability as level 1."
Chameleon,Faint,"Activate friendly toy ability as level 2."
Chameleon,Faint,"Activate friendly toy ability as level 3."
Chicken,Faint,"Give future shop pets permanent +1 attack and +1 health."
Chicken,Faint,"Give future shop pets permanent +2 attack and +2 health."
Chicken,Faint,"Give future shop pets permanent +3 attack and +3 health."
Chinchilla,Sell,"Summon one 2/2 level 1 Loyal Chinchilla."
Chinchilla,Sell,"Summon one 4/4 level 2 Loyal Chinchilla."
Chinchilla,Sell,"Summon one 6/6 level 3 Loyal Chinchilla."
Chipmunk,Sell,"Stock one 1-gold copy of this pets food perk."
Chipmunk,Sell,"Stock three 1-gold copy of this pets food perk."
Chipmunk,Sell,"Stock two 1-gold copy of this pets food perk."
Clownfish,"Friendly pet level-up","Give it +2 attack and +2 health."
Clownfish,"Friendly pet level-up","Give it +4 attack and +4 health."
Clownfish,"Friendly pet level-up","Give it +6 attack and +6 health."
Cobra,"Friend ahead attacks","Deal 20% attack damage to one random enemy."
Cobra,"Friend ahead attacks","Deal 40% attack damage to one random enemy."
Cobra,"Friend ahead attacks","Deal 60% attack damage to one random enemy."
Cockatoo,Buy,"Give three random Faint friends +2 attack and +1 health."
Cockatoo,Buy,"Give three random Faint friends +4 attack and +2 health."
Cockatoo,Buy,"Give three random Faint friends +6 attack and +3 health."
Cockroach,"Start of turn","Set attack to the current shop tier + 1."
Cockroach,"Start of turn","Set attack to the current shop tier + 2."
Cockroach,"Start of turn","Set attack to the current shop tier + 3."
"Cone Snail","Start of battle","Give the nearest friend behind +2 health."
"Cone Snail","Start of battle","Give the nearest friend behind +4 health."
"Cone Snail","Start of battle","Give the nearest friend behind +6 health."
Cow,Buy,"Replace food shop with 2 free Milk that gives +1 attack and +2 health."
Cow,Buy,"Replace food shop with 2 free Milk that gives +2 attack and +4 health."
Cow,Buy,"Replace food shop with 2 free Milk that gives +3 attack and +6 health."
Crab,"Start of battle","Copy 100% of health from the most healthy friend."
Crab,"Start of battle","Copy 150% of health from the most healthy friend."
Crab,"Start of battle","Copy 50% of health from the most healthy friend."
Crane,"Friend ahead hurt","Give it Melon Perk and +5 attack. Works 1 time per turn."
Crane,"Friend ahead hurt","Give it Melon Perk and +5 attack. Works 2 times per turn."
Crane,"Friend ahead hurt","Give it Melon Perk and +5 attack. Works 3 times per turn."
Cricket,Faint,"Summon one 1/1 Zombie Cricket."
Cricket,Faint,"Summon one 2/2 Zombie Cricket."
Cricket,Faint,"Summon one 3/3 Zombie Cricket."
Crocodile,"Start of battle","Deal 8 damage to the last enemy."
Crocodile,"Start of battle","Deal 8 damage to the last enemy. Triggers 2 times."
Crocodile,"Start of battle","Deal 8 damage to the last enemy. Triggers 3 times."
Crow,Sell,"Stock one Best Chocolate."
Crow,Sell,"Stock one Better Chocolate."
Crow,Sell,"Stock one Chocolate."
Cuttlefish,Faint,"Give the last enemy Ink."
Cuttlefish,Faint,"Give the last three enemies Ink."
Cuttlefish,Faint,"Give the last two enemies Ink."
Deer,Faint,"Summon one 10/10 Bus with Chili."
Deer,Faint,"Summon one 15/15 Bus with Chili."
Deer,Faint,"Summon one 5/5 Bus with Chili."
Doberman,"Start of battle","If this is your lowest tier pet, gain Coconut Perk and +16 attack."
Doberman,"Start of battle","If this is your lowest tier pet, gain Coconut Perk and +24 attack."
Doberman,"Start of battle","If this is your lowest tier pet, gain Coconut Perk and +8 attack."
Dodo,"Start of battle","Give 100% of attack to the nearest friend ahead."
Dodo,"Start of battle","Give 150% of attack to the nearest friend ahead."
Dodo,"Start of battle","Give 50% of attack to the nearest friend ahead."
Dog,"Friend summoned","Gain +2 attack and +1 health until end of battle."
Dog,"Friend summoned","Gain +4 attack and +2 health until end of battle."
Dog,"Friend summoned","Gain +6 attack and +3 health until end of battle."
Dolphin,"Start of battle","Deal 3 damage to the lowest health enemy."
Dolphin,"Start of battle","Deal 3 damage to the lowest health enemy. Triggers 2 times."
Dolphin,"Start of battle","Deal 3 damage to the lowest health enemy. Triggers 3 times."
Donkey,"Friend faints","Push the last enemy to the front. Works 1 time per battle."
Donkey,"Friend faints","Push the last enemy to the front. Works 2 times per battle."
Donkey,"Friend faints","Push the last enemy to the front. Works 3 times per battle."
"Door Head Ant","Empty Front Space","If in battle, push this to the front and gain +12 health."
"Door Head Ant","Empty Front Space","If in battle, push this to the front and gain +4 health."
"Door Head Ant","Empty Front Space","If in battle, push this to the front and gain +8 health."
Dove,Faint,"Give two Strawberry friends +2 attack and +2 health."
Dove,Faint,"Give two Strawberry friends +4 attack and +4 health."
Dove,Faint,"Give two Strawberry friends +6 attack and +6 health."
Dragonfly,"End turn","Give +1 attack and +1 health to one friend of each level."
Dragonfly,"End turn","Give +2 attack and +2 health to one friend of each level."
Dragonfly,"End turn","Give +3 attack and +3 health to one friend of each level."
Dragon,"Tier 1 friend bought","Give friends +1 attack and +1 health."
Dragon,"Tier 1 friend bought","Give friends +2 attack and +2 health."
Dragon,"Tier 1 friend bought","Give friends +3 attack and +3 health."
Dromedary,"Start of turn","Give the two left-most shop pets +1 attack and +1 health."
Dromedary,"Start of turn","Give the two left-most shop pets +2 attack and +2 health."
Dromedary,"Start of turn","Give the two left-most shop pets +3 attack and +3 health."
Duckling,Sell,"Give left-most shop pet +2 health."
Duckling,Sell,"Give left-most shop pet +4 health."
Duckling,Sell,"Give left-most shop pet +6 health."
Duck,Sell,"Give shop pets +1 health."
Duck,Sell,"Give shop pets +2 health."
Duck,Sell,"Give shop pets +3 health."
Eagle,Faint,"Summon one 10/10 level 2 pet from the next shop tier."
Eagle,Faint,"Summon one 15/15 level 3 pet from the next shop tier."
Eagle,Faint,"Summon one 5/5 level 1 pet from the next shop tier."
Eel,"Start of battle","Gain 100% health."
Eel,"Start of battle","Gain 150% health."
Eel,"Start of battle","Gain 50% health."
"Egyptian Vulture","Knock out","Activate Faint ability on the nearest friend behind. Works 1 time a turn."
"Egyptian Vulture","Knock out","Activate Faint ability on the nearest friend behind. Works 2 times a turn."
"Egyptian Vulture","Knock out","Activate Faint ability on the nearest friend behind. Works 3 times a turn."
Elephant,"After attack","Deal 1 damage to the nearest friend behind."
Elephant,"After attack","Deal 1 damage to the nearest friend behind. Triggers 2 times."
Elephant,"After attack","Deal 1 damage to the nearest friend behind. Triggers 3 times."
"Elephant Seal","Gain perk","Give friends +1 attack and +1 health. Double in battle."
"Elephant Seal","Gain perk","Give friends +2 attack and +2 health. Double in battle."
"Elephant Seal","Gain perk","Give friends +3 attack and +3 health. Double in battle."
"Emperor Tamarin",Sell,"Give 100% attack and health to the leftmost shop pet."
"Emperor Tamarin",Sell,"Give 33% attack and health to the leftmost shop pet."
"Emperor Tamarin",Sell,"Give 66% attack and health to the leftmost shop pet."
Emu,"Empty front space","Push nearest friend ahead to the front and give it +12 health in battle."
Emu,"Empty front space","Push nearest friend ahead to the front and give it +4 health in battle."
Emu,"Empty front space","Push nearest friend ahead to the front and give it +8 health in battle."
Falcon,"Knock out","Summon one 3/3 level 1 copy of it. Works 3 times per battle."
Falcon,"Knock out","Summon one 3/3 level 2 copy of it. Works 3 times per battle."
Falcon,"Knock out","Summon one 3/3 level 3 copy of it. Works 3 times per battle."
Ferret,Buy,"Choose one level 1 toy from tier 1."
Ferret,Buy,"Choose one level 2 toy from tier 1."
Ferret,Buy,"Choose one level 3 toy from tier 1."
"Fire Ant",Faint,"Give attack to one random friend."
"Fire Ant",Faint,"Give attack to three random friends."
"Fire Ant",Faint,"Give attack to two random friends."
Fish,"Level up","Give two friends +1 attack and +1 health."
Fish,"Level up","Give two friends +2 attack and +2 health."
Fish,"Level up",None
Flamingo,Faint,"Give the two nearest friends behind +1 attack and +1 health."
Flamingo,Faint,"Give the two nearest friends behind +2 attack and +2 health."
Flamingo,Faint,"Give the two nearest friends behind +3 attack and +3 health."
Flea,Faint,"Make the most healthy enemy Weak."
Flea,Faint,"Make the three most healthy enemies Weak."
Flea,Faint,"Make the two most healthy enemies Weak."
Fly,"Friend faints","Summon one 12/12 Zombie Fly in its place. Works 3 times per turn."
Fly,"Friend faints","Summon one 4/4 Zombie Fly in its place. Works 3 times per turn."
Fly,"Friend faints","Summon one 8/8 Zombie Fly in its place. Works 3 times per turn."
"Flying Fish","Friend summoned","If in battle, give it +2 experience. Works 2 times per turn."
"Flying Fish","Friend summoned","If in battle, give it +4 experience. Works 2 times per turn."
"Flying Fish","Friend summoned","If in battle, give it +6 experience. Works 2 times per turn."
"Flying Squirrel","Toy broke","Re-summon it and gain +1 attack."
"Flying Squirrel","Toy broke","Re-summon it and gain +2 attack."
"Flying Squirrel","Toy broke","Re-summon it and gain +3 attack."
Fox,"End turn","Steal one random shop food."
Fox,"End turn","Steal one random shop food and double its attack and health effects."
Fox,"End turn","Steal one random shop food and triple its attack and health effects."
Frigatebird,"Friend gained ailment","Remove ailment. Works 1 time per turn."
Frigatebird,"Friend gained ailment","Remove ailment. Works 2 times per turn."
Frigatebird,"Friend gained ailment","Remove ailment. Works 3 times per turn."
"Frilled Dragon","Start of battle","Gain +1 attack and +1 health per friend with a Faint ability."
"Frilled Dragon","Start of battle","Gain +2 attack and +2 health per friend with a Faint ability."
"Frilled Dragon","Start of battle","Gain +3 attack and +3 health per friend with a Faint ability."
Frog,"Start of battle","Swap stats of the two adjacent friends."
Gazelle,"Start of turn","Gain +1 attack and +1 health until end of battle for each gold over 10."
Gazelle,"Start of turn","Gain +2 attack and +2 health until end of battle for each gold over 10."
Gazelle,"Start of turn","Gain +3 attack and +3 health until end of battle for each gold over 10."
Gecko,"Start of battle","If you have a toy, gain +2 health."
Gecko,"Start of battle","If you have a toy, gain +4 health."
Gecko,"Start of battle","If you have a toy, gain +6 health."
"German Shepherd","Friend summoned","Give 25% of attack to it until end of battle."
"German Shepherd","Friend summoned","Give 50% of attack to it until end of battle."
"German Shepherd","Friend summoned","Give 75% of attack to it until end of battle."
Gharial,Buy,"Choose one level 1 toy from tier 4."
Gharial,Buy,"Choose one level 2 toy from tier 4."
Gharial,Buy,"Choose one level 3 toy from tier 4."
Giraffe,"End turn","Give the nearest friend ahead +1 attack and +1 health."
Giraffe,"End turn","Give the nearest three friends ahead +1 attack and +1 health."
Giraffe,"End turn","Give the nearest two friends ahead +1 attack and +1 health."
Goat,"Friend bought","Gain +1 gold. Works 2 times per turn."
Goat,"Friend bought","Gain +2 gold. Works 2 times per turn."
Goat,"Friend bought","Gain +3 gold. Works 2 times per turn."
"Gold Fish","End turn","Increase sell value by 1 Gold."
"Gold Fish","End turn","Increase sell value by 2 Gold."
"Gold Fish","End turn","Increase sell value by 3 Gold."
Goose,"Start of battle","Remove 1 attack from the first enemy."
Goose,"Start of battle","Remove 2 attack from the first enemy."
Goose,"Start of battle","Remove 3 attack from the first enemy."
Gorilla,Hurt,"Gain Coconut 1 time per battle."
Gorilla,Hurt,"Gain Coconut 2 times per battle."
Gorilla,Hurt,"Gain Coconut 3 times per battle."
"Grizzly Bear","Five friendly attacks","Deal 12 damage to two random enemies."
"Grizzly Bear","Five friendly attacks","Deal 18 damage to two random enemies."
"Grizzly Bear","Five friendly attacks","Deal 6 damage to two random enemies."
Groundhog,Faint,"Gain +1 Trumpet."
Groundhog,Faint,"Gain +2 Trumpets."
Groundhog,Faint,"Gain +3 Trumpets."
Guineafowl,Hurt,"Gain +2 Trumpets."
Guineafowl,Hurt,"Gain +4 Trumpets."
Guineafowl,Hurt,"Gain +6 Trumpets."
"Guinea Pig",Buy,"Summon one 1/1 Guinea Pig."
"Guinea Pig",Buy,"Summon one 2/2 Guinea Pig."
"Guinea Pig",Buy,"Summon one 3/3 Guinea Pig."
Hammershark,"Start of turn","If this has a level 3 friend, gain +3 gold."
Hammershark,"Start of turn","If this has a level 3 friend, gain +6 gold."
Hammershark,"Start of turn","If this has a level 3 friend, gain +9 gold."
Hamster,Roll,"Gain +1 gold. Works 2 times per turn."
Hamster,Roll,"Gain +1 gold. Works 4 times per turn."
Hamster,Roll,"Gain +1 gold. Works 6 times per turn."
"Hatching Chick","End turn","Give the nearest friend ahead +1 experience."
"Hatching Chick","End turn","Give the nearest friend ahead +2 attack and +2 health."
"Hatching Chick","End turn","Give the nearest friend ahead +4 attack and +4 health until end of battle."
Hawk,"Start of battle","Deal 14 damage to the opposite enemy."
Hawk,"Start of battle","Deal 21 damage to the opposite enemy."
Hawk,"Start of battle","Deal 7 damage to the opposite enemy."
Hedgehog,Faint,"Deal 2 damage to all."
Hedgehog,Faint,"Deal 4 damage to all."
Hedgehog,Faint,"Deal 6 damage to all."
"Hercules Beetle",Sell,"Give friends front-to-back +1 attack for each battle this has fought."
"Hercules Beetle",Sell,"Give friends front-to-back +2 attack for each battle this has fought."
"Hercules Beetle",Sell,"Give friends front-to-back +3 attack for each battle this has fought."
"Highland Cow","Start of battle","Gain +1 trumpet for each 3 health this has."
"Highland Cow","Start of battle","Gain +2 trumpets for each 3 health this has."
"Highland Cow","Start of battle","Gain +3 trumpets for each 3 health this has."
Hippo,"Knock out","Gain +3 attack and +3 health."
Hippo,"Knock out","Gain +6 attack and +6 health."
Hippo,"Knock out","Gain +9 attack and +9 health."
"Hoopoe Bird",Faint,"Deal 2 damage to the first and last enemy."
"Hoopoe Bird",Faint,"Deal 4 damage to the first and last enemy."
"Hoopoe Bird",Faint,"Deal 6 damage to the first and last enemy."
Horse,"Friend summoned","Give it +1 attack until end of battle."
Horse,"Friend summoned","Give it +2 attack until end of battle."
Horse,"Friend summoned","Give it +3 attack until end of battle."
Hummingbird,"Start of battle","Give +2 attack and +1 health to one random Strawberry friend."
Hyena,"Start of battle","Shuffle positions of all pets."
Hyena,"Start of battle","Swap attack and health and shuffle positions of all pets."
Hyena,"Start of battle","Swap attack and health of all pets."
Iguana,"Enemy summoned or pushed","Deal 1 attack to it."
Iguana,"Enemy summoned or pushed","Deal 2 attack to it."
Iguana,"Enemy summoned or pushed","Deal 3 attack to it."
Jellyfish,"Pet level-up","Gain +1 attack and +1 health."
Jellyfish,"Pet level-up","Gain +2 attack and +2 health."
Jellyfish,"Pet level-up","Gain +3 attack and +3 health."
Jerboa,"Eats Apple","Give friends +1 attack and +1 health. Works 2 times per turn."
Jerboa,"Eats Apple","Give friends +2 attack and +2 health. Works 2 times per turn."
Jerboa,"Eats Apple","Give friends +3 attack and +3 health. Works 2 times per turn."
Kangaroo,"Friend ahead attacks","Gain +1 attack and +1 health."
Kangaroo,"Friend ahead attacks","Gain +2 attack and +2 health."
Kangaroo,"Friend ahead attacks","Gain +3 attack and +3 health."
Kiwi,Sell,"Give one random Strawberry friend +1 attack and +2 health."
Kiwi,Sell,"Give one random Strawberry friend +2 attack and +4 health."
Kiwi,Sell,"Give one random Strawberry friend +3 attack and +6 health."
Koala,"Friend hurt","Give it +1 attack and +1 health. Works 1 time per turn."
Koala,"Friend hurt","Give it +2 attack and +2 health. Works 1 time per turn."
Koala,"Friend hurt","Give it +3 attack and +3 health. Works 1 time per turn."
Komodo,"End turn","Give friends ahead +1 attack and +1 health and then shuffle their positions."
Komodo,"End turn","Give friends ahead +2 attack and +2 health and then shuffle their positions."
Komodo,"End turn","Give friends ahead +3 attack and +3 health and then shuffle their positions."
Ladybug,"Friend gained perk","Gain +2 attack until end of battle."
Ladybug,"Friend gained perk","Gain +4 attack until end of battle."
Ladybug,"Friend gained perk","Gain +6 attack until end of battle."
Leech,"End turn","Deal 1 damage to the nearest pet ahead and gain +1 health."
Leech,"End turn","Deal 1 damage to the nearest pet ahead and gain +2 health."
Leech,"End turn","Deal 1 damage to the nearest pet ahead and gain +3 health."
Lemur,Buy,"Choose one level 1 toy from tier 2."
Lemur,Buy,"Choose one level 2 toy from tier 2."
Lemur,Buy,"Choose one level 3 toy from tier 2."
Leopard,"Start of battle","Deal 50% attack damage to one random enemy."
Leopard,"Start of battle","Deal 50% attack damage to three random enemy."
Leopard,"Start of battle","Deal 50% attack damage to two random enemy."
Lioness,"End turn","Give current and future shop pets +2 attack and +2 health."
Lioness,"End turn","Give current and future shop pets +4 attack and +4 health."
Lioness,"End turn","Give current and future shop pets +6 attack and +6 health."
Lionfish,Faint,"Deal 12 damage to one random enemy. Repeat for each 10 attack this has."
Lionfish,Faint,"Deal 4 damage to one random enemy. Repeat for each 10 attack this has."
Lionfish,Faint,"Deal 8 damage to one random enemy. Repeat for each 10 attack this has."
Lion,"Start of battle","If this is your highest tier pet, gain +100% attack and health."
Lion,"Start of battle","If this is your highest tier pet, gain +150% attack and health."
Lion,"Start of battle","If this is your highest tier pet, gain +50% attack and health."
Lizard,Hurt,"Summon one 3/1 Lizard Tail. Works 2 times per turn."
Lizard,Hurt,"Summon one 6/2 Lizard Tail. Works 2 times per turn."
Lizard,Hurt,"Summon one 9/3 Lizard Tail. Works 2 times per turn."
Llama,"End turn","If there in an empty space, gain +1 attack and +2 health."
Llama,"End turn","If there in an empty space, gain +2 attack and +4 health."
Llama,"End turn","If there in an empty space, gain +3 attack and +6 health."
Lobster,"Friend summoned","If outside battle, gain +2 attack and +2 health."
Lobster,"Friend summoned","If outside battle, gain +4 attack and +4 health."
Lobster,"Friend summoned","If outside battle, gain +6 attack and +6 health."
Lynx,"Start of battle","Deal damage to one random enemy equal to the sum of all friendly levels."
Lynx,"Start of battle","Deal damage to three random enemies equal to the sum of all friendly levels."
